341248;Johnny Bench;0,9872;0,9934
341250;Charles Bender;0,9468;1,0
341252;Bruce Benedict;0,9899;1,0
341253;Alan Benes;0,9595;1,0
341254;Andy Benes;0,9754;1,0
341257;Benny Bengough;0,9878;1,0
341260;Armando Benitez;0,9103;1,0
341263;Mike Benjamin;0,9825;1,0
341275;Gary Bennett;0,9913;1,0
341287;Joaquin Benoit;0,9724;1,0
341296;Jack Bentley;0,9816;1,0
341297;Al Benton;0,9387;1,0
341301;Rube Benton;0,963;1,0
341304;Todd Benzinger;0,9941;1,0
341334;Dave Bergman;0,991;0,9792
341343;Lance Berkman;0,9908;1,0
341366;Yogi Berra;0,9877;0,9892
341368;Jose Berrios;0,9522;1,0
341369;Angel Berroa;0,9646;1,0
341378;Damon Berryhill;0,988;1,0
341386;Sean Berry;0,9498;0,6667
341393;Jon Berti;0,9737;0,9783
341400;Don Bessent;0,9762;1,0
341407;Yuniesky Betancourt;0,9712;0,9608
341409;Wilson Betemit;0,9572;0,9
341410;Christian Bethancourt;0,9916;1,0
341420;Mookie Betts;0,9866;0,9872
341424;Bill Bevens;0,9318;1,0
341433;Joe Biagini;0,875;1,0
341434;Buddy Biancalana;0,9519;1,0
341438;Rainey Bibbs;0,9421;0,9167
341439;Jim Bibby;0,9383;1,0
341440;Tanner Bibee;0,9616;1,0
341442;Bo Bichette;0,9656;0,88
341452;Shane Bieber;0,9769;1,0
341455;Mike Bielecki;0,9698;1,0
341467;Cavan Biggio;0,9816;1,0
341468;Craig Biggio;0,9846;0,9854
341482;Jack Billingham;0,9656;1,0
341494;Doug Bird;0,9776;0,5
341497;Greg Bird;0,9978;1,0
341520;Max Bishop;0,9764;1,0
341534;Ty Blach;0,9832;1,0
341541;Buddy Black;0,9716;0,8889
341550;Ewell Blackwell;0,9495;1,0
341559;Joe Black;0,9116;1,0
341562;Nick Blackburn;0,9736;1,0
341583;Paul Blair;0,9874;1,0
341587;Casey Blake;0,9651;0,9733
341589;Frank Blake;0,9623;0,875
341598;Carlos Blanco;0,9901;1,0
341604;Henry Blanco;0,9939;0,9714
341605;Heberto Blanco;0,9391;1,0
341606;Johnny Blanchard;0,9819;1,0
341622;Lance Blankenship;0,9847;0,9286
341627;Joe Blanton;0,9539;1,0
341629;Don Blasingame;0,9775;1,0
341631;Steve Blass;0,9604;1,0
341636;Jeff Blauser;0,9623;0,9645
341649;Richard Bleier;0,9759;1,0
341654;Jerry Blevins;0,8305;1,0
341672;Willie Bloomquist;0,9775;1,0
341676;Mike Blowers;0,9546;1,0
341679;Ossie Bluege;0,9613;0,9559
341683;Vida Blue;0,9668;1,0
341687;Geoff Blum;0,9768;1,0
341688;Bert Blyleven;0,9694;1,0
341696;Willie Bobo;0,9761;0,961
341702;Bruce Bochy;0,979;1,0
341707;Mike Boddicker;0,9502;0,8572
341713;Brian Boehringer;0,9853;0,0
341717;Xander Bogaerts;0,9781;0,9863
341719;Tim Bogar;0,9783;1,0
341723;Mitchell Boggs;0,9481;1,0
341726;Wade Boggs;0,9651;0,9796
341731;Alec Bohm;0,9731;0,9588
341751;Joe Boley;0,9567;0,9743
341768;Jeremy Bonderman;0,9189;1,0
341771;Ted Bond;0,9533;1,0
341781;Tiny Bonham;0,9661;1,0
341785;Bobby Bonilla;0,9553;0,9649
341796;Boof Bonser;0,9241;1,0
341801;Greg Booker;0,9452;1,0
341807;Aaron Boone;0,9605;0,8913
341809;Bob Boone;0,9856;0,9951
341810;Bret Boone;0,9857;0,9927
341829;Pedro Borbon;0,9279;1,0
341836;Pat Borders;0,9873;0,9801
341837;Mike Bordick;0,9824;0,9915
341851;Hank Borowy;0,9753;1,0
341852;Joe Borowski;0,9747;1,0
341861;Chris Bosio;0,9632;1,0
341878;Dave Boswell;0,9598;1,0
341879;Ken Boswell;0,9752;0,8571
341880;David Bote;0,9675;1,0
341886;Jim Bottomley;0,9885;0,9959
341894;Lou Boudreau;0,9725;1,0
341905;Pat Bourque;0,985;1,0
341907;Jim Bouton;0,9507;1,0
341909;Larry Bowa;0,9797;0,9852
341918;Rob Bowen;0,9864;1,0
341948;Ernie Bowman;0,9547;1,0
341967;Matt Boyd;0,924;1,0
341968;Oil Can Boyd;0,9663;1,0
