49682;Florida Marlins;1995;662588.68;0.4685
49683;Houston Astros;1995;949162.06;0.5278
49684;Kansas City Royals;1995;738320.85;0.4861
49685;Los Angeles Dodgers;1995;1061437.86;0.5417
49686;Minnesota Twins;1995;770015.15;0.3889
49687;Milwaukee Brewers;1995;508537.86;0.4514
49688;Montreal Expos;1995;374666.67;0.4583
49689;New York Yankees;1995;1437495.62;0.5486
49690;New York Mets;1995;674999.80;0.4792
49691;Oakland Athletics;1995;1019979.05;0.4653
49692;Philadelphia Phillies;1995;783485.77;0.4792
49693;Pittsburgh Pirates;1995;556222.58;0.4028
49694;San Diego Padres;1995;851043.03;0.4861
49695;Seattle Mariners;1995;1042323.17;0.5448
49696;San Francisco Giants;1995;934943.00;0.4653
49697;St. Louis Cardinals;1995;976342.11;0.4336
49698;Texas Rangers;1995;1017101.50;0.5139
49699;Toronto Blue Jays;1995;1533030.30;0.3889
49700;Atlanta Braves;1996;1656616.67;0.5926
49701;Baltimore Orioles;1996;1702822.34;0.5432
49702;Boston Red Sox;1996;1177597.22;0.5247
49703;California Angels;1996;776702.70;0.4348
49704;Chicago White Sox;1996;1612125.00;0.5247
49705;Chicago Cubs;1996;1002454.55;0.4691
49706;Cincinnati Reds;1996;1215038.11;0.5000
49707;Cleveland Indians;1996;1551850.32;0.6149
49708;Colorado Rockies;1996;1296123.32;0.5123
49709;Detroit Tigers;1996;732437.50;0.3272
49710;Florida Marlins;1996;969453.13;0.4938
49711;Houston Astros;1996;918935.48;0.5062
49712;Kansas City Royals;1996;614583.33;0.4658
49713;Los Angeles Dodgers;1996;1104843.75;0.5556
49714;Minnesota Twins;1996;700515.15;0.4815
49715;Milwaukee Brewers;1996;639117.65;0.4938
49716;Montreal Expos;1996;524661.29;0.5432
49717;New York Yankees;1996;1593876.24;0.5679
49718;New York Mets;1996;741803.03;0.4383
49719;Oakland Athletics;1996;574135.14;0.4815
49720;Philadelphia Phillies;1996;798011.63;0.4136
49721;Pittsburgh Pirates;1996;657642.86;0.4506
49722;San Diego Padres;1996;944939.07;0.5617
49723;Seattle Mariners;1996;1215544.15;0.5280
49724;San Francisco Giants;1996;1061277.86;0.4198
49725;St. Louis Cardinals;1996;1220292.94;0.5432
49726;Texas Rangers;1996;1183076.61;0.5556
49727;Toronto Blue Jays;1996;895608.58;0.4568
49728;Anaheim Angels;1997;1004370.06;0.5185
49729;Atlanta Braves;1997;1686403.23;0.6235
49730;Baltimore Orioles;1997;2017806.90;0.6049
49731;Boston Red Sox;1997;1281139.71;0.4815
49732;Chicago White Sox;1997;1603888.89;0.4969
49733;Chicago Cubs;1997;1317354.16;0.4198
49734;Cincinnati Reds;1997;1244200.00;0.4691
49735;Cleveland Indians;1997;1832337.42;0.5342
49736;Colorado Rockies;1997;1451988.90;0.5123
49737;Detroit Tigers;1997;595586.21;0.4877
49738;Florida Marlins;1997;1570725.81;0.5679
49739;Houston Astros;1997;1121854.84;0.5185
49740;Kansas City Royals;1997;936621.62;0.4161
49741;Los Angeles Dodgers;1997;1512676.80;0.5432
49742;Minnesota Twins;1997;1099112.90;0.4198
49743;Milwaukee Brewers;1997;695745.24;0.4845
49744;Montreal Expos;1997;622435.48;0.4815
49745;New York Yankees;1997;2146260.17;0.5926
49746;New York Mets;1997;1137154.29;0.5432
49747;Oakland Athletics;1997;615858.97;0.4012
49748;Philadelphia Phillies;1997;916412.50;0.4198
49749;Pittsburgh Pirates;1997;307761.91;0.4877
49750;San Diego Padres;1997;1288402.48;0.4691
49751;Seattle Mariners;1997;1298145.66;0.5556
49752;San Francisco Giants;1997;1112261.81;0.5556
49753;St. Louis Cardinals;1997;1262685.19;0.4506
49754;Texas Rangers;1997;1444563.19;0.4753
49755;Toronto Blue Jays;1997;1426661.61;0.4691
49756;Anaheim Angels;1998;1214147.06;0.5247
49757;Arizona Diamondbacks;1998;898527.78;0.4012
49758;Atlanta Braves;1998;1912062.50;0.6543
49759;Baltimore Orioles;1998;2411854.47;0.4877
49760;Boston Red Sox;1998;1719909.09;0.5679
49761;Chicago White Sox;1998;1161666.67;0.4938
49762;Chicago Cubs;1998;1639935.48;0.5521
49763;Cincinnati Reds;1998;676617.65;0.4753
49764;Cleveland Indians;1998;1842429.27;0.5494
49765;Colorado Rockies;1998;1682821.60;0.4753
49766;Detroit Tigers;1998;687571.43;0.4012
49767;Florida Marlins;1998;1033066.68;0.3333
49768;Houston Astros;1998;1324187.50;0.6296
