Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Bernie Williams;5;Ben Revere;0,9815
Bill Buckner;1;Ozzie Virgil;0,9979
Bill Buckner;2;Mookie Wilson;0,9967
Bill Buckner;3;Leon Durham;0,9931
Bill Buckner;4;Kosuke Fukudome;0,9929
Bill Buckner;5;Terry Francona;0,9875
Bill Doran;1;Eric Bruntlett;0,9966
Bill Doran;2;Nori Aoki;0,9929
Bill Doran;3;John Mayberry;0,9897
Bill Doran;4;Adam Melhuse;0,9851
Bill Doran;5;Mark Salas;0,9829
Bill Hall;1;Billy Butler;0,9881
Bill Hall;2;Ryan Ludwick;0,9876
Bill Hall;3;Brandon Belt;0,9866
Bill Hall;4;Carl Crawford;0,9861
Bill Hall;5;Matt Wieters;0,9855
Bill Haselman;1;Jake Westbrook;0,9834
Bill Haselman;2;Scott Sanderson;0,9783
Bill Haselman;3;Robert Perez;0,977
Bill Haselman;4;Donne Wall;0,963
Bill Haselman;5;Marvin Freeman;0,9568
Bill Landrum;1;Jair Jurrjens;0,9945
Bill Landrum;2;Ryan Dempster;0,9922
Bill Landrum;3;John Lackey;0,9902
Bill Landrum;4;Aaron Cook;0,9888
Bill Landrum;5;Justin Verlander;0,9835
Bill Mueller;1;Tracy Jones;0,9985
Bill Mueller;2;Preston Wilson;0,995
Bill Mueller;3;Wally Joyner;0,9939
