Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Adeiny Hechavarria;2;Charley Hall;0,967
Adeiny Hechavarria;3;Dale Mitchell;0,9559
Adeiny Hechavarria;4;Terry Harmon;0,9553
Adeiny Hechavarria;5;Les Nunamaker;0,9518
Adolfo Phillips;1;Jack Powell;0,961
Adolfo Phillips;2;Mike Felder;0,9578
Adolfo Phillips;3;Jack Fournier;0,944
Adolfo Phillips;4;Joe Christopher;0,9403
Adolfo Phillips;5;Mike LaValliere;0,9158
Adonis Terry;1;Robert Person;0,9629
Adonis Terry;2;Sammy Stewart;0,9551
Adonis Terry;3;Horacio Ramirez;0,9457
Adonis Terry;4;Joel Skinner;0,9236
Adonis Terry;5;Wes Parker;0,9216
Adrian Beltre;1;Chuck Crim;0,9665
Adrian Beltre;2;Chris Bosio;0,9422
Adrian Beltre;3;Ed Killian;0,922
Adrian Beltre;4;Tex Clevenger;0,9206
Adrian Beltre;5;Jiggs Donahue;0,9132
Adrian Brown;1;Ralph Branca;0,889
Adrian Brown;2;Jim Holdsworth;0,8811
Adrian Brown;3;Jonathan Lucroy;0,8784
Adrian Brown;4;John Hines;0,8614
Adrian Brown;5;Tim Murnane;0,8602
Adrian Gonzalez;1;Charlie Williams;0,9844
Adrian Gonzalez;2;Shannon Stewart;0,9832
Adrian Gonzalez;3;Bert Gallia;0,9778
Adrian Gonzalez;4;Paul Gibson;0,9759
Adrian Gonzalez;5;Alan Benes;0,9759
Adrian Houser;1;Carlos Reyes;1,0
Adrian Houser;2;Tim Mayza;1,0
Adrian Houser;3;Brian Bohanon;0,9977
Adrian Houser;4;Noe Ramirez;0,995
Adrian Houser;5;Ken Williams;0,9808
Agustín Parpetti;1;Jose Alvarez;0,9638
Agustín Parpetti;2;Willie Kamm;0,9585
Agustín Parpetti;3;Mark Eichhorn;0,9525
Agustín Parpetti;4;Jim Willis;0,9352
Agustín Parpetti;5;Toussaint Allen;0,9291
Al Benton;1;German Marquez;0,9417
Al Benton;2;Guy Hecker;0,9193
Al Benton;3;Tyler Kinley;0,9108
Al Benton;4;Burke Badenhop;0,9009
Al Benton;5;Mike Perez;0,9007
Al Brazle;1;Carl Crawford;0,9033
Al Brazle;2;Jim Willoughby;0,8779
Al Brazle;3;Chico Salmon;0,8518
Al Brazle;4;Ken Holloway;0,8373
Al Brazle;5;Cecilio Guante;0,8321
Al Bridwell;1;Sammy Sosa;0,9311
Al Bridwell;2;Charlie Dexter;0,896
Al Bridwell;3;Harry Steinfeldt;0,8733
Al Bridwell;4;Newt Allen;0,8614
Al Bridwell;5;Reb Russell;0,8461
Al Bumbry;1;Curt Flood;0,9461
Al Bumbry;2;Bobby Jones;0,9191
Al Bumbry;3;Kent Bottenfield;0,9134
Al Bumbry;4;Babe Dahlgren;0,9127
Al Bumbry;5;Cliff Melton;0,9071
Al Cowens;1;Jason Castro;0,885
Al Cowens;2;Oscar Melillo;0,8625
