Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Alex Bregman;4;Travis Hafner;0,8725
Alex Bregman;5;Arky Vaughan;0,8699
Alex Cora;1;Mark Ellis;0,9148
Alex Cora;2;Jimmy Austin;0,8791
Alex Cora;3;Oscar Melillo;0,8761
Alex Cora;4;John Bateman;0,8568
Alex Cora;5;Danny Richardson;0,8546
Alex Gonzalez;1;Danny Litwhiler;0,8995
Alex Gonzalez;2;Alex Rodriguez;0,8591
Alex Gonzalez;3;Larry Hisle;0,8484
Alex Gonzalez;4;Frank Hankinson;0,8367
Alex Gonzalez;5;Mack Jones;0,8221
Alex Gordon;1;Bruce Campbell;0,93
Alex Gordon;2;Joe Vosmik;0,8892
Alex Gordon;3;Jerry Priddy;0,8481
Alex Gordon;4;Don Hoak;0,848
Alex Gordon;5;Woody English;0,8436
Alex Johnson;1;Johnny Edwards;0,9507
Alex Johnson;2;Juan Samuel;0,9103
Alex Johnson;3;Elmer Flick;0,9011
Alex Johnson;4;Jim Ray Hart;0,8922
Alex Johnson;5;Mark Koenig;0,8559
Alex Rios;1;Billy Johnson;0,9192
Alex Rios;2;Robbie Grossman;0,8936
Alex Rios;3;Bob Bescher;0,8693
Alex Rios;4;Gavvy Cravath;0,8671
Alex Rios;5;Ducky Holmes;0,8664
Alex Rodriguez;1;Luis Valbuena;0,9028
Alex Rodriguez;2;Mickey Stanley;0,8753
Alex Rodriguez;3;Alex Gonzalez;0,8591
Alex Rodriguez;4;Doc Bushong;0,8018
Alex Rodriguez;5;Wil Myers;0,7756
Alexei Ramirez;1;George LaChance;0,9327
Alexei Ramirez;2;Jody Reed;0,8943
Alexei Ramirez;3;Rudy York;0,8775
Alexei Ramirez;4;Bobby Wine;0,8692
Alexei Ramirez;5;Willie Keeler;0,8608
Alfonso Soriano;1;Curt Welch;0,8426
Alfonso Soriano;2;Jimmy McAleer;0,8135
Alfonso Soriano;3;Daryl Boston;0,8118
Alfonso Soriano;4;Henry Larkin;0,7898
Alfonso Soriano;5;Curtis Granderson;0,7777
Alfredo Griffin;1;Billy Southworth;0,769
Alfredo Griffin;2;Frank Hankinson;0,7511
Alfredo Griffin;3;Buddy Rosar;0,7447
Alfredo Griffin;4;Hughie Critz;0,7173
Alfredo Griffin;5;Tommy Griffith;0,7163
Alvin Davis;1;Frank Thomas;0,9214
Alvin Davis;2;Earl Sheely;0,9152
Alvin Davis;3;Pete Browning;0,9081
Alvin Davis;4;Andrelton Simmons;0,8841
Alvin Davis;5;Donie Bush;0,8756
