Id_Equipo;Nombre_Equipo;Anio;Salario_Promedio_Equipo;Porcentaje_Victorias;Salario_Relativo;Porcentaje_Victorias_Predicho;Error_Prediccion
49533;Seattle Mariners;1989;407479,17;0,4506;0,3076923076923077;0,29025418133065195;0,16034581866934805
49534;San Francisco Giants;1989;534386,93;0,5679;0,5384615384615384;0,5210234120998827;0,046876587900117284
49535;St. Louis Cardinals;1989;574244,04;0,5309;0,6538461538461539;0,6364080274844981;-0,10550802748449806
49536;Texas Rangers;1989;396459,37;0,5123;0,2692307692307692;0,25179264286911346;0,2605073571308865
49537;Toronto Blue Jays;1989;580773,79;0,5494;0,7307692307692307;0,713331104407575;-0,16393110440757497
49538;Atlanta Braves;1990;454859,41;0,4012;0,4230769230769231;0,4056387967152673;-0,0044387967152673125
49539;Baltimore Orioles;1990;261623,89;0,472;0,038461538461538464;0,021023412099882694;0,4509765879001173
49540;Boston Red Sox;1990;642447,91;0,5432;0,8846153846153846;0,8671772582537288;-0,3239772582537288
49541;California Angels;1990;620571,43;0,4938;0,8076923076923077;0,790254181330652;-0,29645418133065193
49542;Chicago White Sox;1990;306177,42;0,5802;0,07692307692307693;0,059484950561421154;0,5207150494385789
49543;Chicago Cubs;1990;439483,87;0,4753;0,38461538461538464;0,3671772582537289;0,10812274174627112
49544;Cincinnati Reds;1990;422647,06;0,5617;0,23076923076923078;0,21333110440757502;0,34836889559242495
49545;Cleveland Indians;1990;439000,0;0,4753;0,3076923076923077;0,29025418133065195;0,18504581866934805
49546;Detroit Tigers;1990;533128,42;0,4877;0,5;0,48256187363834424;0,0051381263616557815
49547;Houston Astros;1990;591290,32;0,463;0,7307692307692307;0,713331104407575;-0,25033110440757494
49548;Kansas City Royals;1990;667459,54;0,4658;0,9615384615384616;0,9441003351768058;-0,4783003351768058
49549;Los Angeles Dodgers;1990;609105,83;0,5309;0,7692307692307693;0,7517926428691135;-0,22089264286911348
49550;Minnesota Twins;1990;405611,11;0,4568;0,19230769230769232;0,17486956594603656;0,28193043405396345
49551;Milwaukee Brewers;1990;532950,46;0,4568;0,46153846153846156;0,4441003351768058;0,012699664823194179
49552;Montreal Expos;1990;535044,77;0,5247;0,5384615384615384;0,5210234120998827;0,0036765879001173785
49553;New York Yankees;1990;633706,61;0,4136;0,8461538461538461;0,8287157197921904;-0,41511571979219036
49554;New York Mets;1990;678838,56;0,5617;1,0;0,9825618736383442;-0,42086187363834426
49555;Oakland Athletics;1990;584926,5;0,6358;0,6538461538461539;0,6364080274844981;-0,0006080274844980638
49556;Philadelphia Phillies;1990;439122,23;0,4753;0,34615384615384615;0,3287157197921904;0,14658428020780961
49557;Pittsburgh Pirates;1990;432111,11;0,5864;0,2692307692307692;0,25179264286911346;0,3346073571308866
49558;San Diego Padres;1990;549635,44;0,463;0,5769230769230769;0,5594849505614211;-0,09648495056142109
49559;Seattle Mariners;1990;369225,5;0,4753;0,11538461538461539;0,09794648902295962;0,3773535109770404
49560;San Francisco Giants;1990;568686,26;0,5247;0,6153846153846154;0,5979464890229597;-0,0732464890229596
49561;St. Louis Cardinals;1990;586380,97;0,4321;0,6923076923076923;0,6748695659460365;-0,24276956594603655
49562;Texas Rangers;1990;402010,05;0,5123;0,15384615384615385;0,1364080274844981;0,3758919725155019
49563;Toronto Blue Jays;1990;657660,52;0,5309;0,9230769230769231;0,9056387967152674;-0,37473879671526733
49564;Atlanta Braves;1991;736140,0;0,5802;0,2692307692307692;0,25179264286911346;0,3284073571308866
49565;Baltimore Orioles;1991;565129,03;0,4136;0,07692307692307693;0,059484950561421154;0,35411504943857885
49566;Boston Red Sox;1991;1172250,0;0,5185;0,8461538461538461;0,8287157197921904;-0,3102157197921904
49567;California Angels;1991;1066451,65;0,5;0,7692307692307693;0,7517926428691135;-0,2517926428691135
49568;Chicago White Sox;1991;604273,82;0,537;0,19230769230769232;0,17486956594603656;0,3621304340539635
49569;Chicago Cubs;1991;927026,68;0,4813;0,5384615384615384;0,5210234120998827;-0,03972341209988267
49570;Cincinnati Reds;1991;1011743,58;0,4568;0,7307692307692307;0,713331104407575;-0,256531104407575
49571;Cleveland Indians;1991;587833,33;0,3519;0,11538461538461539;0,09794648902295962;0,2539535109770404
49572;Detroit Tigers;1991;953533,32;0,5185;0,5769230769230769;0,5594849505614211;-0,04098495056142115
49573;Houston Astros;1991;514100,0;0,4012;0,038461538461538464;0,021023412099882694;0,3801765879001173
49574;Kansas City Royals;1991;1253325,43;0,5062;0,9230769230769231;0,9056387967152674;-0,3994387967152674
49575;Los Angeles Dodgers;1991;1093022,13;0,5741;0,8076923076923077;0,790254181330652;-0,2161541813306519
49576;Minnesota Twins;1991;973409,71;0,5864;0,6153846153846154;0,5979464890229597;-0,011546489022959627
49577;Milwaukee Brewers;1991;1005021,74;0,5123;0,6923076923076923;0,6748695659460365;-0,16256956594603655
49578;Montreal Expos;1991;631313,71;0,441;0,23076923076923078;0,21333110440757502;0,22766889559242498
49579;New York Yankees;1991;976577,43;0,4383;0,6538461538461539;0,6364080274844981;-0,19810802748449807
49580;New York Mets;1991;1253461,58;0,4783;0,9615384615384616;0,9441003351768058;-0,4658003351768058
49581;Oakland Athletics;1991;1423044,88;0,5185;1,0;0,9825618736383442;-0,4640618736383443
49582;Philadelphia Phillies;1991;749577,73;0,4815;0,34615384615384615;0,3287157197921904;0,1527842802078096
49583;Pittsburgh Pirates;1991;875358,04;0,6049;0,5;0,48256187363834424;0,12233812636165575
49584;San Diego Padres;1991;738333,37;0,5185;0,3076923076923077;0,29025418133065195;0,228245818669348
49585;Seattle Mariners;1991;603532,04;0,5123;0,15384615384615385;0,1364080274844981;0,3758919725155019
49586;San Francisco Giants;1991;1191064,08;0,463;0,8846153846153846;0,8671772582537288;-0,4041772582537288
49587;St. Louis Cardinals;1991;753793,14;0,5185;0,38461538461538464;0,3671772582537289;0,15132274174627108
49588;Texas Rangers;1991;867833,33;0,5247;0,46153846153846156;0,4441003351768058;0,08059966482319425
49589;Toronto Blue Jays;1991;796096,68;0,5617;0,4230769230769231;0,4056387967152673;0,15606120328473266
49590;Atlanta Braves;1992;1116946,23;0,6049;0,5384615384615384;0,5210234120998827;0,08387658790011732
49591;Baltimore Orioles;1992;720626,27;0,5494;0,15384615384615385;0,1364080274844981;0,4129919725155019
49592;Boston Red Sox;1992;1406793,03;0,4506;0,9230769230769231;0,9056387967152674;-0,45503879671526737
49593;California Angels;1992;1158311,13;0,4444;0,6538461538461539;0,6364080274844981;-0,19200802748449808
49594;Chicago White Sox;1992;1005361,1;0,5309;0,46153846153846156;0,4441003351768058;0,08679966482319423
49595;Chicago Cubs;1992;1065345,93;0,4815;0,5;0,48256187363834424;-0,0010618736383442573
49596;Cincinnati Reds;1992;1330796,26;0,5556;0,8846153846153846;0,8671772582537288;-0,31157725825372884
49597;Cleveland Indians;1992;267801,26;0,4691;0,038461538461538464;0,021023412099882694;0,44807658790011734
49598;Detroit Tigers;1992;975815,5;0,463;0,38461538461538464;0,3671772582537289;0,09582274174627115
49599;Houston Astros;1992;513583,33;0,5;0,07692307692307693;0,059484950561421154;0,44051504943857883
49600;Kansas City Royals;1992;1210494,07;0,4444;0,6923076923076923;0,6748695659460365;-0,23046956594603651
49601;Los Angeles Dodgers;1992;1544419,52;0,3889;0,9615384615384616;0,9441003351768058;-0,5552003351768058
49602;Minnesota Twins;1992;1000994,07;0,5556;0,4230769230769231;0,4056387967152673;0,14996120328473267
49603;Milwaukee Brewers;1992;1148654,33;0,5679;0,6153846153846154;0,5979464890229597;-0,0300464890229597
49604;Montreal Expos;1992;586012,37;0,537;0,11538461538461539;0,09794648902295962;0,43905351097704043
49605;New York Yankees;1992;1137676,79;0,4691;0,5769230769230769;0,5594849505614211;-0,0903849505614211
49606;New York Mets;1992;1715461,62;0,4444;1,0;0,9825618736383442;-0,5381618736383442
49607;Oakland Athletics;1992;1282343,75;0,5926;0,8076923076923077;0,790254181330652;-0,19765418133065193
49608;Philadelphia Phillies;1992;812794,47;0,4321;0,23076923076923078;0,21333110440757502;0,21876889559242496
49609;Pittsburgh Pirates;1992;1212291,68;0,5926;0,7307692307692307;0,713331104407575;-0,12073110440757495
49610;San Diego Padres;1992;959077,39;0,5062;0,3076923076923077;0,29025418133065195;0,21594581866934803
49611;Seattle Mariners;1992;799304,59;0,3951;0,19230769230769232;0,17486956594603656;0,22023043405396345
49612;San Francisco Giants;1992;1326526,72;0,4444;0,8461538461538461;0,8287157197921904;-0,38431571979219037
49613;St. Louis Cardinals;1992;951166,76;0,5123;0,2692307692307692;0,25179264286911346;0,2605073571308865
49614;Texas Rangers;1992;971876,35;0,4753;0,34615384615384615;0,3287157197921904;0,14658428020780961
49615;Toronto Blue Jays;1992;1244129,61;0,5926;0,7692307692307693;0,7517926428691135;-0,1591926428691135
49616;Atlanta Braves;1993;1261861,12;0,642;0,7857142857142857;0,7682761593526299;-0,12627615935262992
49617;Baltimore Orioles;1993;909265,63;0,5247;0,42857142857142855;0,4111333022097728;0,11356669779022727
49618;Boston Red Sox;1993;1197438,16;0,4938;0,6428571428571429;0,6254190164954871;-0,13161901649548713
49619;California Angels;1993;893385,44;0,4383;0,39285714285714285;0,3754190164954871;0,06288098350451293
49620;Chicago White Sox;1993;1280521,48;0,5802;0,8214285714285714;0,8039904450669156;-0,2237904450669156
49621;Chicago Cubs;1993;1230833,31;0,5185;0,75;0,7325618736383442;-0,21406187363834428
49622;Cincinnati Reds;1993;1359989,88;0,4506;0,9642857142857143;0,9468475879240585;-0,49624758792405854
49623;Cleveland Indians;1993;464025,0;0,4691;0,07142857142857142;0,05399044506691565;0,4151095549330844
49624;Colorado Rockies;1993;313742,42;0,4136;0,03571428571428571;0,018276159352629943;0,3953238406473701
49625;Detroit Tigers;1993;1230650,48;0,5247;0,7142857142857143;0,6968475879240585;-0,1721475879240585
49626;Florida Marlins;1993;568545,44;0,3951;0,14285714285714285;0,1254190164954871;0,2696809835045129
49627;Houston Astros;1993;1041741,38;0,5247;0,5357142857142857;0,5182761593526299;0,006423840647370116
49628;Kansas City Royals;1993;1292067,72;0,5185;0,8571428571428571;0,8397047307812013;-0,3212047307812014
49629;Los Angeles Dodgers;1993;1229124,97;0,5;0,6785714285714286;0,6611333022097728;-0,16113330220977284
49630;Minnesota Twins;1993;855088,88;0,4383;0,32142857142857145;0,3039904450669157;0,13430955493308433
49631;Milwaukee Brewers;1993;721419,21;0,4259;0,17857142857142858;0,16113330220977282;0,2647666977902272
49632;Montreal Expos;1993;484598,28;0,5802;0,10714285714285714;0,08970473078120136;0,4904952692187987
49633;New York Yankees;1993;1302269,7;0,5432;0,9285714285714286;0,9111333022097728;-0,36793330220977283
49634;New York Mets;1993;1301455,57;0,3642;0,8928571428571429;0,8754190164954871;-0,5112190164954871
49635;Oakland Athletics;1993;1050342,58;0,4198;0,5714285714285714;0,5539904450669156;-0,13419044506691563
49636;Philadelphia Phillies;1993;891822,94;0,5988;0,35714285714285715;0,3397047307812014;0,2590952692187986
49637;Pittsburgh Pirates;1993;752195,97;0,463;0,25;0,23256187363834424;0,23043812636165578
49638;San Diego Padres;1993;750333,32;0,3765;0,21428571428571427;0,19684758792405851;0,1796524120759415
