Jugador_Base;Ranking;Jugador_Comparable;Similitud_Coseno
Elvis Andrus;2;Asdrubal Cabrera;0,9887
Elvis Andrus;3;Jim Edmonds;0,9543
Elvis Andrus;4;Mike Lowell;0,8903
Elvis Andrus;5;Andrelton Simmons;0,875
Joaquin Andujar;1;Jerry Reuss;0,9618
Joaquin Andujar;2;John Candelaria;0,9618
Joaquin Andujar;3;John Tudor;0,9577
Joaquin Andujar;4;Tyler Glasnow;0,9402
Joaquin Andujar;5;Bob Knepper;0,9378
Miguel Andujar;1;Gordon Beckham;0,9681
Miguel Andujar;2;Jake Cronenworth;0,9666
Miguel Andujar;3;Austin Jackson;0,9617
Miguel Andujar;4;Dan Uggla;0,955
Miguel Andujar;5;Jackson Merrill;0,9198
Rick Ankiel;1;Jim Nash;1,0
Rick Ankiel;2;Mike Nagy;1,0
Rick Ankiel;3;Rolando Arrojo;1,0
Rick Ankiel;4;Craig McMurtry;1,0
Rick Ankiel;5;Billy McCool;1,0
Johnny Antonelli;1;Ron Bryant;0,9741
Johnny Antonelli;2;Dick Donovan;0,9741
Johnny Antonelli;3;Mudcat Grant;0,9741
Johnny Antonelli;4;Ellis Kinder;0,9741
Johnny Antonelli;5;Sam Jones;0,9741
Luis Aparicio;1;Tom Tresh;0,7776
Luis Aparicio;2;Minnie Miñoso;0,7729
Luis Aparicio;3;Frank Howard;0,7722
Luis Aparicio;4;Bill Virdon;0,7409
Luis Aparicio;5;Ken Hubbs;0,7409
Kevin Appier;1;Mark Clear;1,0
Kevin Appier;2;Bill Gullickson;1,0
Kevin Appier;3;Cal Eldred;0,9817
Kevin Appier;4;Tim Belcher;0,9797
Kevin Appier;5;Juan Guzman;0,9755
Luke Appling;1;Travis Jackson;0,9921
Luke Appling;2;Mel Ott;0,987
Luke Appling;3;Earl Averill;0,987
Luke Appling;4;Hack Wilson;0,9862
Luke Appling;5;Red Ruffing;0,9827
Aristides Aquino;1;Austin Meadows;0,9811
Aristides Aquino;2;Wyatt Langford;0,9566
Aristides Aquino;3;Yuli Gurriel;0,9533
Aristides Aquino;4;Patrick Wisdom;0,9055
Aristides Aquino;5;Nolan Jones;0,9055
Chris Archer;1;Ben Sheets;1,0
Chris Archer;2;Matt Shoemaker;1,0
Chris Archer;3;Martin Perez;0,9819
Chris Archer;4;Josh Johnson;0,9723
Chris Archer;5;Trevor Rogers;0,9553
Jimmy Archer;1;Steve O'Neill;1,0
Jimmy Archer;2;Hal Chase;1,0
Jimmy Archer;3;Dave Bancroft;0,999
Jimmy Archer;4;Heinie Groh;0,999
Jimmy Archer;5;Ed Walsh;0,999
Nolan Arenado;1;Matt Chapman;0,9696
Nolan Arenado;2;Jose Trevino;0,9138
Nolan Arenado;3;Kevin Kiermaier;0,9063
Nolan Arenado;4;Adrian Beltre;0,8621
Nolan Arenado;5;Fernando Tatis;0,8576
J. P. Arencibia;1;Kevin Young;1,0
J. P. Arencibia;2;Yonder Alonso;1,0
J. P. Arencibia;3;Oscar Zamora;1,0
J. P. Arencibia;4;Gary Alexander;1,0
J. P. Arencibia;5;Mike Young;1,0
Tony Armas;1;Jeff Burroughs;0,8067
Tony Armas;2;Ferris Fain;0,7974
Tony Armas;3;Bobby Ayala;0,7522
Tony Armas;4;Luke Easter;0,7522
Tony Armas;5;Don Mattingly;0,7492
Jack Armstrong;1;Wandy Rodriguez;1,0
Jack Armstrong;2;Andy Hawkins;1,0
Jack Armstrong;3;Rick Helling;1,0
Jack Armstrong;4;Erik Bedard;1,0
Jack Armstrong;5;Woody Williams;1,0
Randy Arozarena;1;Jeremy Peña;0,7691
Randy Arozarena;2;Dave Stewart;0,7346
Randy Arozarena;3;Koji Uehara;0,7168
Randy Arozarena;4;Marty Barrett;0,7168
Randy Arozarena;5;Matt Garza;0,7149
Luis Arraez;1;Bob Forsch;0,9658
Luis Arraez;2;Ian Desmond;0,9636
Luis Arraez;3;Dean Palmer;0,9323
Luis Arraez;4;Michael Cuddyer;0,9076
Luis Arraez;5;Jack Wilson;0,9076
Jake Arrieta;1;Doug Drabek;0,8622
Jake Arrieta;2;Mark Mulder;0,8117
Jake Arrieta;3;Dennis Martinez;0,8084
Jake Arrieta;4;James Paxton;0,7855
Jake Arrieta;5;Bruce Hurst;0,7855
Spencer Arrighetti;1;Francisco Alvarez;1,0
Spencer Arrighetti;2;Brett Anderson;1,0
Spencer Arrighetti;3;Damon Hollins;1,0
Spencer Arrighetti;4;Brian Barden;1,0
Spencer Arrighetti;5;Eric Haase;1,0
Rolando Arrojo;1;Jim Nash;1,0
Rolando Arrojo;2;Mike Nagy;1,0
Rolando Arrojo;3;Craig McMurtry;1,0
Rolando Arrojo;4;Billy McCool;1,0
Rolando Arrojo;5;Bob Owchinko;1,0
Bronson Arroyo;1;Kole Calhoun;1,0
Bronson Arroyo;2;Marcus Stroman;1,0
Bronson Arroyo;3;Mike Jorgensen;1,0
Bronson Arroyo;4;Mitch Moreland;1,0
Bronson Arroyo;5;Jay Buhner;1,0
Luis Arroyo;1;Ken Sanders;1,0
Luis Arroyo;2;Dave Giusti;1,0
Luis Arroyo;3;Eddie Fisher;1,0
Luis Arroyo;4;Roy Face;1,0
Luis Arroyo;5;Mike Fornieles;1,0
Richie Ashburn;1;Cade Horton;1,0
Richie Ashburn;2;Ken Hunt;1,0
Richie Ashburn;3;Dick Howser;1,0
Richie Ashburn;4;Clint Courtney;1,0
Richie Ashburn;5;Ryne Duren;1,0
Garrett Atkins;1;Lourdes Gurriel;1,0
Garrett Atkins;2;Xavier Nady;1,0
Garrett Atkins;3;Spencer Steer;1,0
Garrett Atkins;4;Gleyber Torres;1,0
Garrett Atkins;5;Seiya Suzuki;0,9818
Rich Aurilia;1;Morgan Ensberg;1,0
Rich Aurilia;2;Jeff Blauser;1,0
Rich Aurilia;3;Joe Crede;0,9523
Rich Aurilia;4;Felipe Lopez;0,9265
Rich Aurilia;5;Yandy Diaz;0,9265
Brad Ausmus;1;Ender Inciarte;1,0
Brad Ausmus;2;Harvey Haddix;1,0
Brad Ausmus;3;Bobby Knoop;1,0
Brad Ausmus;4;Rey Ordonez;1,0
Brad Ausmus;5;Christian Walker;1,0
Earl Averill;1;Mel Ott;1,0
Earl Averill;2;Red Ruffing;0,9914
Earl Averill;3;Luke Appling;0,987
Earl Averill;4;Bill Dickey;0,9801
Earl Averill;5;Red Rolfe;0,9751
Steve Avery;1;Mike Devereaux;1,0
Steve Avery;2;Eddie Rosario;0,9918
Steve Avery;3;Chris Taylor;0,9917
Steve Avery;4;Tommy Edman;0,9874
Steve Avery;5;Javier Baez;0,9839
Alex Avila;1;Wil Cordero;1,0
Alex Avila;2;Jose Vidro;1,0
Alex Avila;3;Neil Walker;1,0
Alex Avila;4;Travis d'Arnaud;1,0
Alex Avila;5;Anthony Santander;1,0
Bobby Avila;1;Felipe Alou;1,0
Bobby Avila;2;Matty Alou;1,0
Bobby Avila;3;Tony Bernazard;1,0
