Doug Baker;3;Robin Yount;1,0
Doug Baker;4;Alan Trammell;1,0
Doug Baker;5;Spike Owen;1,0
Frank Baker;1;Frank Taveras;1,0
Frank Baker;2;Dave Chalk;1,0
Frank Baker;3;Alan Bannister;1,0
Frank Baker;4;Jim Mason;1,0
Frank Baker;5;Mike Phillips;1,0
Rufus Baker;1;Tommy Brown;1,0
Rufus Baker;2;Frank Croucher;1,0
Rufus Baker;3;Al Brancato;1,0
Rufus Baker;4;Bus Clarkson;1,0
Rufus Baker;5;T. J. Brown;1,0
Neal Ball;1;Bill Dahlen;1,0
Neal Ball;2;George Davis;1,0
Neal Ball;3;Joe Tinker;1,0
Neal Ball;4;Monte Cross;1,0
Neal Ball;5;Kid Elberfeld;1,0
Dave Bancroft;1;Rabbit Maranville;1,0
Dave Bancroft;2;Joe Sewell;1,0
Dave Bancroft;3;Travis Jackson;1,0
Dave Bancroft;4;Wally Gerber;1,0
Dave Bancroft;5;Glenn Wright;1,0
Sam Bankhead;1;Eddie Joost;1,0
Sam Bankhead;2;Eddie Lake;1,0
Sam Bankhead;3;Skeeter Webb;1,0
Sam Bankhead;4;Lennie Merullo;1,0
Sam Bankhead;5;Bobby Bragan;1,0
Alan Bannister;1;Frank Taveras;1,0
Alan Bannister;2;Dave Chalk;1,0
Alan Bannister;3;Jim Mason;1,0
Alan Bannister;4;Mike Phillips;1,0
Alan Bannister;5;Jackie Hernandez;1,0
Walter Barbare;1;Rabbit Maranville;1,0
Walter Barbare;2;Dave Bancroft;1,0
Walter Barbare;3;Joe Sewell;1,0
Walter Barbare;4;Travis Jackson;1,0
Walter Barbare;5;Wally Gerber;1,0
Bill Barrett;1;Rabbit Maranville;1,0
Bill Barrett;2;Dave Bancroft;1,0
Bill Barrett;3;Joe Sewell;1,0
Bill Barrett;4;Travis Jackson;1,0
Bill Barrett;5;Wally Gerber;1,0
Jack Barry;1;Roger Peckinpaugh;1,0
Jack Barry;2;Mickey Doolin;1,0
Jack Barry;3;George McBride;1,0
Jack Barry;4;Art Fletcher;1,0
Jack Barry;5;Ivy Olson;1,0
Dick Bartell;1;Luke Appling;1,0
Dick Bartell;2;Joe Cronin;1,0
Dick Bartell;3;Arky Vaughan;1,0
Dick Bartell;4;Frankie Crosetti;1,0
Dick Bartell;5;Billy Rogell;1,0
Jason Bartlett;1;Edgar Renteria;1,0
Jason Bartlett;2;Rafael Furcal;1,0
Jason Bartlett;3;Jose Valentin;1,0
Jason Bartlett;4;Julio Lugo;1,0
Jason Bartlett;5;Carlos Guillen;1,0
Eddie Basinski;1;Eddie Joost;1,0
Eddie Basinski;2;Eddie Lake;1,0
Eddie Basinski;3;Skeeter Webb;1,0
Eddie Basinski;4;Lennie Merullo;1,0
Eddie Basinski;5;Sam Bankhead;1,0
Charlie Bastian;1;Jack Glasscock;1,0
